0.00	1.38
1.42	7.22
7.26	11.18
11.22	15.93
15.97	17.39
17.43	23.15
23.19	24.02
24.07	24.86
24.90	26.15
26.19	29.74
29.78	30.49
30.53	31.53
31.57	32.37
32.41	33.16
33.20	34.33
34.37	35.03
35.08	40.42
40.46	41.83
41.88	44.29
44.34	45.88
45.92	48.72
48.76	50.80
50.84	53.01
53.05	54.93
54.97	55.81
55.85	58.18
58.22	58.68
58.73	61.94
61.98	65.61
65.65	66.65
66.69	68.69
68.74	69.94
69.99	71.49
71.53	73.11
73.16	74.28
74.32	76.49
76.53	77.54
77.58	79.20
79.25	80.79
80.83	82.08
82.12	83.33
83.37	85.21
85.25	87.09
87.13	90.01
90.05	93.18
93.22	95.72
95.76	108.61
108.65	109.11
109.15	111.49
111.53	112.07
112.11	114.03
114.07	120.50
120.54	121.08
121.12	121.79
121.83	125.04
125.08	128.04
128.09	129.55
129.59	132.17
132.22	133.47
133.51	134.47
134.51	134.97
135.01	136.51
136.55	136.97
137.01	140.22
140.27	142.18
142.23	147.77
147.81	149.61
149.65	152.15
152.19	155.82
155.86	156.57
156.61	159.62
159.66	161.49
161.54	163.79
163.83	167.79
167.83	168.84
168.88	172.26
172.30	176.97
177.01	186.56
186.60	187.56
187.60	188.40
188.44	189.11
189.15	189.94
189.98	191.15
191.19	191.94
191.98	193.44
193.48	195.45
195.49	195.90
195.95	197.41
197.45	197.82
197.86	199.03
199.07	199.49
199.53	201.70
201.74	203.37
203.41	204.16
204.20	205.71
205.75	206.33
206.37	208.33
208.37	209.29
209.33	212.17
212.21	214.80
214.84	218.55
218.59	219.22
219.26	224.27
224.31	238.61
238.66	242.95
