0.00	4.36
4.40	6.76
6.80	11.12
11.16	13.48
13.52	14.12
14.16	19.36
19.40	22.96
23.00	26.04
26.08	27.44
27.48	28.88
28.92	29.88
29.92	31.36
31.40	32.80
32.84	33.72
33.76	35.20
35.24	37.32
37.36	38.04
38.08	38.80
38.84	39.24
39.28	41.80
41.84	42.96
43.00	43.80
43.84	44.72
44.76	45.88
45.92	46.56
46.60	46.88
46.92	47.48
47.52	48.48
48.52	50.00
50.04	51.16
51.20	51.64
51.68	53.00
53.04	54.08
54.12	55.56
55.60	56.00
56.04	56.72
56.76	58.92
58.96	60.76
60.80	62.00
62.04	63.32
63.36	64.92
64.96	65.24
65.28	69.00
69.04	73.08
73.12	76.08
76.12	76.64
76.68	78.76
78.80	80.36
80.40	82.08
82.12	82.68
82.72	86.68
86.72	87.60
87.64	88.12
88.16	89.60
89.64	90.60
90.64	91.04
91.08	91.60
91.64	92.60
92.64	93.76
93.80	95.76
95.80	98.12
98.16	108.04
108.08	110.80
110.84	111.44
111.48	114.28
114.32	114.88
114.92	118.12
118.16	119.88
119.92	120.96
121.00	122.24
122.28	124.40
124.44	125.48
125.52	126.16
126.20	127.16
127.20	128.32
128.36	129.52
129.56	130.16
130.20	131.40
131.44	134.32
134.36	135.04
135.08	136.64
136.68	137.64
137.68	138.48
138.52	139.56
139.60	140.48
140.52	141.40
141.44	144.84
