0	24
25	40
41	77
78	93
94	173
174	293
294	326
327	350
351	385
386	414
415	449
450	474
475	493
494	512
513	540
541	591
592	603
604	640
641	673
674	702
703	749
750	773
774	793
794	811
812	846
847	854
855	873
874	910
911	923
924	950
951	984
985	1101
1102	1151
1152	1168
1169	1201
1202	1221
1222	1250
1251	1264
1265	1294
1295	1349
1350	1370
1371	1410
1411	1433
1434	1474
1475	1535
1536	1575
1576	1601
1602	1627
1628	1653
1654	1738
1739	1777
1778	1814
1815	1837
1838	1899
1900	1925
1926	1985
1986	2091
2092	2119
2120	2145
2146	2227
2228	2253
2254	2279
2280	2289
2290	2352
2353	2411
2412	2428
2429	2445
2446	2454
2455	2488
2489	2503
2504	2523
2524	2547
2548	2562
2563	2596
2597	2658
2659	2726
2727	2813
2814	2828
2829	2852
2853	2903
2904	2937
2938	3003
3004	3145
3146	3204
3205	3231
3232	3400
3401	3452
3453	3501
3502	3649
3650	3683
3684	3712
3713	3754
3755	3845
3846	3887
3888	3950
3951	4025
4026	4175
4176	4201
4202	4223
4224	4247
4248	4263
4264	4354
4355	4376
4377	4453
4454	4474
4475	4506
4507	4590
4591	4644
4645	4776
4777	4818
4819	4891
