0	109
110	169
170	278
279	337
338	353
354	484
485	574
575	651
652	686
687	722
723	747
748	784
785	820
821	843
844	880
881	933
934	951
952	970
971	981
982	1045
1046	1074
1075	1095
1096	1118
1119	1147
1148	1164
1165	1172
1173	1187
1188	1212
1213	1250
1251	1279
1280	1291
1292	1325
1326	1352
1353	1389
1390	1400
1401	1418
1419	1473
1474	1519
1520	1550
1551	1583
1584	1623
1624	1631
1632	1725
1726	1827
1828	1902
1903	1916
1917	1969
1970	2009
2010	2052
2053	2067
2068	2167
2168	2190
2191	2203
2204	2240
2241	2265
2266	2276
2277	2290
2291	2315
2316	2344
2345	2394
2395	2453
2454	2701
2702	2770
2771	2786
2787	2857
2858	2872
2873	2953
2954	2997
2998	3024
3025	3056
3057	3110
3111	3137
3138	3154
3155	3179
3180	3208
3209	3238
3239	3254
3255	3285
3286	3358
3359	3376
3377	3416
3417	3441
3442	3462
3463	3489
3490	3512
3513	3535
3536	3621
