0.00	0.92
0.96	57.56
57.60	59.85
59.89	63.69
63.73	66.90
66.94	70.24
70.28	74.95
74.99	77.08
77.12	78.37
78.41	78.83
78.87	80.58
80.62	88.67
88.71	92.22
92.26	98.43
98.47	106.19
106.23	110.40
110.44	112.57
112.61	113.78
113.82	114.91
114.95	117.33
117.37	118.37
118.41	119.58
119.62	122.66
122.71	124.42
124.46	125.46
125.50	126.75
126.79	128.42
128.46	137.39
137.43	142.14
142.18	147.44
147.48	174.63
174.67	186.31
186.35	193.57
193.61	202.16
202.20	211.25
211.29	214.80
214.84	218.84
