0.00	3.42
3.46	5.38
5.42	6.09
6.13	7.13
7.17	8.59
8.63	9.76
9.80	11.30
11.34	12.14
12.18	12.97
13.01	13.43
13.47	14.35
14.39	15.31
15.35	16.18
16.22	17.35
17.39	17.98
18.02	18.64
18.69	26.23
26.28	27.99
28.03	28.53
28.57	29.07
29.11	30.16
30.20	31.24
31.28	32.24
32.28	34.70
34.74	37.75
37.79	42.00
42.04	44.42
44.46	47.67
47.71	49.38
49.42	51.89
51.93	63.19
63.23	63.94
63.98	64.77
64.81	67.07
67.11	68.53
68.57	69.69
69.74	71.24
71.28	72.99
73.03	77.12
77.16	77.99
78.04	79.08
79.12	80.00
80.04	80.37
80.41	81.00
81.04	83.79
83.83	84.96
85.00	85.54
85.59	87.25
87.30	88.34
88.38	89.13
89.17	90.59
90.63	91.93
91.97	93.43
93.47	93.93
93.97	95.30
95.35	96.05
96.10	97.85
97.89	98.60
98.64	99.64
99.68	101.14
101.18	102.10
102.14	102.85
102.89	103.73
103.77	105.15
105.19	106.31
106.36	109.98
110.03	111.03
111.07	113.61
113.66	114.86
114.91	115.24
115.28	117.83
117.87	119.33
119.37	120.41
120.45	122.25
122.29	123.79
123.83	124.33
124.37	127.00
127.04	128.29
128.34	129.59
129.63	130.38
130.42	133.68
133.72	134.88
134.93	138.51
138.56	146.06
146.10	148.36
148.40	149.86
149.90	153.15
153.19	154.03
154.07	155.49
155.53	164.04
164.08	168.63
168.67	170.46
170.50	175.01
175.05	180.51
