0	37
38	69
70	96
97	113
114	132
133	178
179	209
210	230
231	252
253	388
389	422
423	469
470	497
498	598
599	694
695	756
757	823
824	949
950	1002
1003	1017
1018	1076
1077	1126
1127	1167
1168	1190
1191	1221
1222	1412
1413	1455
1456	1492
1493	1540
1541	1603
1604	1667
1668	1692
1693	1756
1757	1796
1797	1829
1830	1855
1856	1880
1881	2015
2016	2149
2150	2189
2190	2219
2220	2254
2255	2377
2378	2403
2404	2436
2437	2471
2472	2512
2513	2572
2573	2594
2595	2641
2642	2727
2728	2756
2757	2797
2798	2835
2836	2882
2883	2906
2907	2936
2937	2996
2997	3076
3077	3106
3107	3172
3173	3233
3234	3280
3281	3305
3306	3339
3340	3380
3381	3407
3408	3429
3430	3462
3463	3492
3493	3564
3565	3575
3576	3589
3590	3621
3622	3663
3664	3685
3686	3693
3694	3728
3729	3761
3762	3815
3816	3875
3876	3901
3902	3915
3916	3938
3939	3983
3984	4006
4007	4034
4035	4066
4067	4083
4084	4107
4108	4148
4149	4203
4204	4259
4260	4275
4276	4305
4306	4336
4337	4410
4411	4448
4449	4469
4470	4496
4497	4515
4516	4741
