0.00	4.30
4.34	6.55
6.59	8.05
8.09	9.80
9.84	11.34
11.39	12.68
12.72	13.51
13.56	17.06
17.10	17.98
18.02	20.65
20.69	25.73
25.78	26.65
26.69	27.40
27.44	28.36
28.40	28.99
29.03	29.99
30.03	31.20
31.24	33.37
33.41	33.99
34.03	35.54
35.58	36.29
36.33	38.66
38.71	39.29
39.33	41.04
41.08	41.67
41.71	43.96
44.00	45.34
45.38	45.96
46.00	47.34
47.38	48.63
48.67	49.30
49.34	50.63
50.68	51.97
52.01	53.01
53.05	53.60
53.64	55.01
55.05	55.97
56.01	57.31
57.35	58.18
58.22	59.73
59.77	61.10
61.14	62.35
62.40	63.02
63.06	64.27
64.31	64.98
65.02	68.28
68.32	69.11
69.15	69.99
70.03	71.07
71.11	74.20
74.24	78.04
78.08	79.29
79.33	80.71
80.75	82.33
82.37	86.75
86.80	87.30
87.34	91.97
92.01	93.30
93.34	94.64
94.68	94.97
95.01	97.97
98.01	98.56
98.60	100.64
100.68	101.43
101.48	103.77
103.81	123.08
123.12	124.29
124.33	125.33
125.38	126.04
126.08	128.67
128.71	129.96
130.00	133.01
133.05	134.01
134.05	135.39
135.43	135.89
135.93	136.59
136.64	137.89
137.93	139.22
139.26	140.72
140.77	141.98
142.02	150.02
150.07	152.65
152.69	165.29
165.33	166.58
166.62	167.96
168.00	169.34
169.38	172.55
172.59	173.97
174.01	175.59
175.63	177.39
177.43	178.72
178.76	179.97
180.01	183.31
183.35	186.52
186.56	197.66
197.70	199.70
