0	49
50	208
209	243
244	368
369	394
395	434
435	515
516	553
554	629
630	754
755	785
786	929
930	1018
1019	1058
1059	1096
1097	1138
1139	1239
1240	1339
1340	1424
1425	1555
1556	1631
1632	1688
1689	1703
1704	1738
1739	1805
1806	1903
1904	1926
1927	2013
2014	2056
2057	2118
2119	2142
2143	2190
2191	2303
2304	2562
2563	2586
2587	2640
2641	2682
2683	2726
2727	2748
2749	2778
2779	2901
2902	2933
2934	3008
3009	3132
3133	3195
3196	3278
3279	3342
3343	3447
3448	3531
3532	3642
3643	3720
3721	3761
3762	3812
3813	3852
3853	3893
3894	3931
3932	3968
3969	4050
4051	4093
4094	4139
4140	4278
4279	4447
4448	4479
4480	4837
4838	4890
4891	4918
4919	4998
4999	5045
5046	5062
5063	5138
