가수,제목,발매일,장르,가사
태연 (TAEYEON),Rain,2016.02.03,발라드,텅 빈 회색 빛 거린 참 허전해쓸쓸한 기분에 유리창을 열어내민 두 손 위로 떨어진 빗방울가득 고이는 그리움 나의 맘에 흘러왠지 네가 보고픈 밤차오르는 눈물떠오르는 나의 맘 속비가 오면 내리는 기억에번지는 아픔에흠뻑 쏟아지는 너를 보다선명했던 그 시간에 멈춘 채추억에 젖은 채아름다웠던 너를 그려 in the Rain길었던 참 눈이 부셨던 계절도사진첩 속에 얼룩져 색이 바래질까점점 깊어가는 이 밤잊지 못한 약속따뜻했던 품도 안녕비가 오면 내리는 기억에번지는 아픔에흠뻑 쏟아지는 너를 보다선명했던 그 시간에 멈춘 채추억에 젖은 채아름다웠던 너를 그려 in the Rain흑백뿐인 세상 속한줄기의 빛이 돼준 너Rain 비가 되어 다가와내 영혼을 환히 밝혀줘Doo doo doo doo doo doo dooDoo doo doo doo doo doo dooDoo doo doo doo doo doo dooDoo doo doo doo doo doo dooDoo doo doo doo doo doo dooDoo doo doo doo doo doo dooWoo Woo Woo who who who 우산 아래 나직했던 속삭임 Woo Woo 가슴 한 켠에 퍼져 네가 들려오늘 하루 내 안부를 묻듯이편안한 빗소리아련히 물든 기억 너란 빗속에Woo Woo rain WooDreaming in the Rain
송하예,니 소식,2019.05.11,발라드,그때의 우리 사랑뜨겁고 치열했는데끝나보니 남는건 미움뿐몇번의 계절을 더보내야 괜찮아 질까미련이 듬뿍 남은 하루를 보내친구들과 통화에우연히 들은 니 소식다른 사랑을 시작해잘 지낸다고한땐 소중했었고많이 사랑했었던우리둘은 이젠 남이 됐고모르는 사람이야넌 완벽히 잊었나봐이렇게 넌 잘사는데괜한 걱정을 했나봐나만 힘든가봐너도 내 소식을전해 들었으면 좋겠어아직은 좀 힘들어 한다는미안한 마음갖고가끔씩 날 생각해줘그래야 내 맘이 좀편할거 같아니옆에 다른 사람있다는게 참 낯설어뭔지 모를 서운함은이기적인 거니한땐 소중했었고많이 사랑했었던우리둘은 이젠 남이 됐고모르는 사람이야넌 완벽히 잊었나봐이렇게 넌 잘사는데나만 끝을 미뤘나봐나만 그랬나봐솔직한 맘을 말하면좋은 사랑 안했으면 해가슴아프게 지내길 바랬어너는 행복하겠지많이 설레이겠지나 없이도 웃는 니 모습에이제야 실감이나넌 완벽히 떠났나봐확실히 날 떠났나봐난 니가 너무 미워져행복하지 말아줘잘지내지 말아줘좋은 사람 만나 다행이란말은 거짓말이야네 소식 들은 그날밤펑펑 울다가 밤을 샜어늦어버린걸 알지만어쩔수 없나봐
윤토벤,서툰 이별을 하려해 (Feat.전상근),2019.08.01,"발라드, 인디음악",우리 이제 헤어지기로해 너도 알잖아 우린 충분했다는걸이별이 무서워 자꾸 피해보지만 이젠 정말 끝인걸우리 사랑이 우리 추억이 이젠 끝나가지만 함께한 기억은 내가 다 가져갈게끝이란걸 알지만 끝이라고 안할게 내눈에 비친 네 모습이 날 나쁘게 만들어나 이제 너와 서툰이별을 하려해 많이 아프겠지만 이제 정말 헤어지려해 가끔 혼자 견디기 힘들어 나도 몰래 널 부르게되면 그냥 지나쳐줘 서툰이별이라서 그래혹시 그때의 서로를 조금더 이해했더라면 우린 조금은 달라졌을까이제와서 이러는 내가 너무 이기적인가봐 내눈에 비친 네 모습이 날 나쁘게 만들어나 이제 너와 서툰이별을 하려해 많이 아프겠지만 이제 정말 헤어지려해 가끔 혼자 견디기 힘들어 나도 몰래 널 부르게되면 그냥 지나쳐줘 서툰이별이라서 그래우리의 최선은 여기까지인거같아 수고많았어 이젠 널 보낼게 같은 추억속에 우리를 이젠 보내줘야해 애써 그냥 웃으며 아무렇지 않게 널 보낼게우리 이제 정말 이별을 하려해 많이 아프겠지만 많이 힘들겠지만 혹시 우리가 다시 만나게 되는 날이 다가오면 그땐 꼭 안아줘 많이 보고싶었다고 말해줘
이소라,신청곡 (Feat. SUGA of BTS),2019.01.22,발라드,창밖엔 또 비가 와이럴 땐 꼭 네가 떠올라잠이 오지 않아내방엔 이 침묵과쓸쓸한 내 심장 소리가미칠 것만 같아So I turn on my radio낯선 목소리가 들려오고And on the radio슬픈 그 사연이 너무 내 얘기 같아서Hey DJ play me a songto make me smile마음이 울적한 밤에 나 대신 웃어줄그를 잊게 해줄 노래Hey DJ play me a songto make me cry가슴이 답답한 밤에 나 대신 울어줄그를 잊게 해줄 노래치열했던 하루를 위로하는어둠마저 잠든 이 밤수백 번 나를 토해내네그대 아프니까난 당신의 삶 한 귀퉁이 한 조각이자그대의 감정들의 벗때로는 familia때때론 잠시 쉬어 가고플 때함께임에도 외로움에 파묻혀질 때추억에 취해서누군가를 다시 게워낼 때그때야 비로소난 당신의 음악이 됐네그래 난 누군가에겐봄 누군가에게는 겨울누군가에겐 끝 누군가에게는 처음난 누군가에겐 행복 누군가에겐 넋누군가에겐 자장가이자때때로는 소음함께 할게 그대의 탄생과 끝어디든 함께 임을 기억하기를언제나 당신의 삶을 위로할 테니부디 내게 가끔 기대어 쉬어가기를So I turn on my radio낯선 목소리가 들려오고And on the radio슬픈 그 사연이 너무 내 얘기 같아서Hey DJ play me a songto make me smile마음이 울적한 밤에 나 대신 웃어줄그를 잊게 해줄 노래Hey DJ play me a songto make me cry가슴이 답답한 밤에 나 대신 울어줄그를 잊게 해줄 노래창밖엔 또 비가 와이럴 땐 꼭 네가 떠올라잠이 오지 않아난 어쩔 수 없나 봐
아이유,금요일에 만나요 (Feat. 장이정 Of HISTORY),2013.12.20,발라드,월요일엔 아마 바쁘지 않을까 화요일도 성급해 보이지 안 그래 수요일은 뭔가 어정쩡한 느낌 목요일은 그냥 내가 왠지 싫어 우 이번 주 금요일 우 금요일에 시간 어때요 주말까지 기다리긴 힘들어 시간아 달려라 시계를  더 보채고 싶지만  mind control 일분 일초가 달콤해 이 남자 도대체 뭐야 사랑에 빠지지 않곤 못 배기겠어 온 종일 내 맘은 저기  시계바늘 위에 올라타 한 칸씩 그대에게 더 가까이 우 이번 주 금요일 우 금요일에 시간 어때요 딱히 보고 싶은 영화는 없지만 딱히 먹고 싶은 메뉴는 없지만 주말까지 기다리긴 힘들어 시간아 달려라 시계를  더 보채고 싶지만  mind control 일분 일초가 달콤해 이 남자 도대체 뭐야 사랑에 빠지지 않곤  못 배기겠어 온 종일 내 맘은 저기  시계바늘 위에 올라타 한 칸씩 그대에게 더 가까이 나 뭔가에 홀린 것 같아 이 여잔 도대체 뭐야 사랑해주지 않고는 못 배기겠어 돌아오는 이번 주  금요일에 만나요 그 날 내 맘을 더 가져가줘요더 가까이 더 가까이 와요  더 가까이 
태연 (TAEYEON),만약에,2008.01.23,"발라드, 국내드라마",만약에 내가 간다면내가 다가간다면넌 어떻게 생각할까용길 낼 수 없고만약에 니가 간다면니가 떠나간다면널 어떻게 보내야 할지자꾸 겁이 나는 걸내가 바보 같아서바라볼 수 밖에만없는 건 아마도외면할지도 모를니 마음과 또 그래서더 멀어질 사이가 될까봐정말 바보 같아서사랑한다 하지못하는 건 아마도만남 뒤에 기다리는 아픔에슬픈 나날들이두려워서인가봐만약에 니가 온다면니가 다가온다면난 어떻게 해야만 할지정말 알 수 없는 걸내가 바보 같아서바라볼 수 밖에만없는 건 아마도외면할지도 모를니 마음과 또 그래서더 멀어질 사이가 될까봐정말 바보같아서사랑한다 하지못하는 건 아마도만남 뒤에 기다리는 아픔에슬픈 나날들이두려워서인가봐내가 바보 같아서사랑한다 하지 못하는 건 아마도만남 뒤에 기다리는 아픔에슬픈 나날들이두려워서인가봐 
한동근,관계,2023.06.07,발라드,저 수많은 사람들 사이로내 마음을 고이 숨겨둔다면내 마음이 조금 편안해질까아니면 너도 내 마음과 같아질까누군가에게 짐이 되고 싶지 않아서나의 마음을 너에게 숨겨야만 했어사실 나도 누군갈 사랑하고 싶었고또 누군가에게 사랑받고 싶었어그럴 수 있잖아사랑하는 일들은 당연한 일이잖아때론 누군가에게 상처를 받고때론 누군가에게 위로받고서살아가는 거야 누구나 그런 거야근데 난 그게 어렵나 봐내 슬픔이 너에게 닿아서혹여나 부담되진 않을까그러다 네 마음이 다칠까 봐나의 마음을 숨겨두기로 했어때론 많이도 외롭고 슬플지도 몰라괜찮아 지금껏 혼자서 잘 버텨냈잖아사실 나도 누군갈 사랑하고 싶었고또 누군가에게 사랑받고 싶었어그럴 수 있잖아사랑하는 일들은 당연한 일이잖아때론 누군가에게 상처를 받고때론 누군가에게 위로받고서살아가는 거야 누구나 그런 거야근데 난 그게 어렵나 봐천천히 해보는 거야모두가 날 기다려 주고 있잖아다가서 봐내가 부담될까용길 내봐나를 떠날까 봐이런 날 한 번만 안아줘나도 누군갈 사랑하고 싶었고누군가에게 사랑받고 싶었어그럴 수 있잖아 사랑하는 일들은당연한 일이잖아때론 누군가에게 상처를 받고때론 누군가에게 위로받고서살아가는 거야 누구나 그런 거야근데 난 그게 어렵나 봐사랑해줘 사랑해줘사랑해줘 사랑해줘나를 사랑해줘나를 사랑해줘
딘딘 (DINDIN),이러면 안 될 거 아는데 너 앞에만 서면 나락 (Feat. 10CM),2021.10.14,발라드,이러면 안 될 거 아는데너 앞에만 서면 나락이러면 안 될 거 아는데너 앞에만 서면 나락이러면 안 될 거 아는데너 앞에만 서면 나락이러면 안 될 거 아는데이러면 안 될 거 아는데너 앞에만 서면 나락준비한 말도 얼버무려 결국 망함나 이런 사람 아닌데 답답해왜 매번 네 앞일 때 이런 게답장 와도 문제야 눈에 보여 망할게혼자서 삐져또 혼자서 풀어 그러다 지쳐이젠 끝내야지 생각하다 늦게나마 온너의 답장의 또 미쳐너 얼마나 바쁜데폰을 안 보는 건 말이 안돼내게 관심 없는 것도 아는데진짜 미치겠네이것만 넘김 될 거 같은 게 No이러면 안 될 거 아는데너 앞에만 서면 나락말도 안되는 거 같지만네가 빛나서 반짝Woo 난 네 앞에서만 이런다니까이건 널 사랑하면 안 돼part2 another one난 매번 이런 사랑 들 뿐이군매번 내 자존감은 바닥남들이 보는 나랑정반대야 허세일 뿐솔직한 게 좋은 거라더니실오라기 하나 안 걸치니찌질함의 극치 뭐 잘 돼야 로맨스지 그치안되면 혼자 구질 구질이래서 사랑이 힘들어혼자서 상처받고 부서져 못 고쳐그런데 왜 네가 또 왜내 눈에 나타나서 날 힘들게 해그래도 좋아해이러면 안 될 거 아는데너 앞에만 서면 나락말도 안되는 거 같지만네가 빛나서 반짝Woo 난 네 앞에서만 이런다니까혼자 상상하고 그려보다엉망이 되어버린 drama주인공이 너라서 혼잔 못해사실 지금도 이 곡을 다 쓰기 전에는제발 너의 문자가 오지 않기를빌고 있거든너의 답장에 헤벌레 하다 다 쓴 가사가 바뀔까 봐 근데바꿔도 좋을 것 같아참 못 났지 이게 나야이러면 안 될 거 아는데너 앞에만 서면 나락말도 안되는 거 같지만네가 빛나서 반짝Woo 난 네 앞에서만 이런다니까행복한가요 그대 불같은 사랑을난 하고 싶은데 그댄 아닌 건가요나를 봐줘 그대 바보 같은 나를나란 사람은 나 같은 사람은안되는 건가요
정효빈,혼자가 아닌 나,2023.03.01,발라드,이제 다시 울지 않겠어더는 슬퍼하지 않아다신 외로움에 슬픔에난 흔들리지 않겠어더는 약해지지 않을게많이 아파도 웃을 거야그런 내가 더 슬퍼 보여도날 위로하지 마가끔 나 욕심이 많아서울어야 했는지 몰라행복은 늘멀리 있을 때 커 보이는 걸힘이 들 땐 하늘을 봐나는 항상 혼자가 아니야비가 와도 모진 바람 불어도다시 햇살은 비추니까눈물 나게 아픈 날엔크게 한 번만 소리를 질러봐내게 오려던 연약한 슬픔이또 달아날 수 있게가끔 어제가 후회돼도나 지금 사는 오늘이내일 보면어제가 되는 하루 일 테니힘이 들 땐 하늘을 봐나는 항상 혼자가 아니야비가 와도 모진 바람 불어도다시 햇살은 비추니까눈물 나게 아픈 날엔크게 한 번만 소리를 질러봐내게 오려던 연약한 슬픔이또 달아날 수 있게앞만 보고 걸어갈게때론 혼자서 뛰어라도 갈게내게 멈추던 조그만 슬픔도날 따라오지 않게
박효신,Goodbye,2019.05.06,발라드,멀어져 가는 오후를 바라보다스쳐 지나가 버린 그때 생각이나기억 모퉁이에 적혀 있던 네가지금 여기에 있다이젠 멈춰버린 화면 속에서내게 여름처럼 웃고 있는 너어쩌면 이번이 마지막Goodbye오래 머물러 주어서 고마워이 말이 뭐라고 그렇게 어려웠을까이제 Goodbye우린 다른 꿈을 찾고 있던 거야아주 어린 날 놀던 숨바꼭질처럼해가 저물도록 혼자 남은 내가지금 여기에 있다이미 멈춰버린 화면 속에서내게 여름처럼 웃고 있는 너어쩌면 이번이 마지막Goodbye오래 머물러 주어서 고마워이 말이 뭐라고 이렇게 힘들었을까손에 꼭 쥐었던너와의 Goodbye끝내 참지 못한 눈물이 나어쩌면 오늘이 마지막Goodbye함께 했던 모든 날이 좋았어이 말이 뭐라고 그렇게 어려웠을까이제 GoodbyeGoodbye
성시경,내게 오는 길,2001.04.19,발라드,지금 곁에서 딴 생각에 잠겨 걷고 있는 그대 설레는 마음에 몰래 그대 모습 바라보면서 내 안에 담아요 사랑이겠죠 또 다른 말로는 설명 할 수 없죠 함께 걷는 이 길 다시 추억으로 끝나지않게 꼭 오늘처럼 지켜갈게요 사랑한다는 그 말 아껴둘 걸 그랬죠 이젠 어떻게 내 맘 표현해야 하나 모든 것이 변해가도 이 맘으로 그대 사랑할게요 망설였나요날 받아주기가 아직 힘든가요그댈 떠난 사람그만 잊으려고 애쓰지마요나 그때까지 기다릴테니사랑한다는 그 말 아껴둘 걸 그랬죠이젠 어떻게 내 맘 표현해야 하나모든 것이 변해가도이 맘으로 그대 사랑할게요눈물이 또 남아있다면 모두 흘려버려요이 좋은 하늘 아래 우리만 남도록사랑할 수 있나요 내가 다가간만큼이젠 내게 와줘요 내게 기댄 마음사랑이 아니라해도 괜찮아요그댈 볼 수 있으니괜찮아요 내가 사랑할테니
김태우,사랑비,2009.09.03,발라드,사랑했었던 어떤 이가떠나간 적 있겠죠모든 게 내 탓이란생각이 든 적 있겠죠나 그래서 잡지 못했죠이런 아픔쯤은 모두잊을 수 있을 거라다른 사랑이 찾아올 거라 생각했었죠왜 그런데 잊질 못하죠그저 하늘 바라보며외치죠 다시 한번나를 사랑해줘내 맘속 작은 바램이비가 되어 내려오면내 사랑이 머리에 내리면추억이 되살아 나고가슴에 내리면 소중했던사랑이 떠오르고내 사랑이 입술에 닿으면널 사랑해 내게 외치며비가 내리는 그 길을 따라걷다가 걷다가 걷다 보면바라던 내가 널 기다려믿음이라는 열쇠로사랑의 상잘 열어사랑이란 기도를전하는 전화를 걸어내 맘이 널 찾지 못해도그저 하늘 바라보며외치죠 다시 한번나를 사랑해줘내 맘속 작은 바램이비가 되어 내려오면내 사랑이 머리에 내리면추억이 되살아 나고가슴에 내리면 소중했던사랑이 떠오르고내 사랑이 입술에 닿으면널 사랑해 내게 외치며비가 내리는 그 길을 따라걷다가 걷다가 걷다 보면바라던 내가 널 기다려돌아가 그때로내 삶에 단 한번기도했던 대로이렇게 외치면사랑비가 내려와너의 사랑이 나의눈에 내리면내 앞에 네가 서 있고내 귀에 내리면 네가다시 사랑을 속삭이고널 사랑해 내 품에 안으면또 다시 행복해지면해가 비추는 그 길을 따라같이 또 걷다가 걷다 보면바라던 우리가 서 있어내게 다시 오라는 기도Oh yeah 한번 더
허각,Hello,2011.09.16,발라드,우리 헤어지면 안되잖아우리 이별하긴 이르잖아이렇게 날 떠나가면 안돼요내가 하지 못한 말들이 아직 너무 많은데이대로 날 떠나가지 마세요그대이기 때문에 난정말 그대였기 때문에 난이대로는 이대로는 난 안돼요내가 살아가는 이유는 오직 그대뿐이죠 제발 나를 떠나가지 말아요그대는 내 사랑 그리운 내 사랑 날 사랑했던 사람이제는 만질 수 없지만내가 그리운 만큼 그대도 그리운가요내가 미칠 듯이 사랑했던 그 사람 hello 사랑했기 때문에 난정말 사랑했기 때문에 난죽을 만큼 죽을 만큼 힘드네요죽지 못해 살아가고 있는 내가 보이나요제발 내게 다시 돌아와줘요그대는 내사랑 그리운 내사랑 날 사랑했던 사람이제는 만질 수 없지만내가 그리운 만큼 그대도 그리운가요내가 미칠 듯이 사랑했던 그 사람겨우 이대로 끝날 거라면정말 마지막이라면지금 돌아가 그때로 서로 몰랐던 그때로너무 늦어버리면 너무 늦어버리면내가 살아가는 게 너무 힘이 들어 날 버릴까 봐정말 이대로 끝날 거라면이게 마지막이라면지금 돌아가 그때로 서로 몰랐던 그때로너무 늦어버리면 너무 늦어버리면내가 살아가는 게 너무 힘이 들어 날 버릴까 봐
케이윌,말해! 뭐해?,2016.03.18,"발라드, 국내드라마",아무 말 없이내게서 커져만 가는 게아무래도 이대론 안 되겠어어쩌다 내가 이렇게네게 빠진 건지이유를 나도 모르겠어넌 왜 내게서 맴돌아 뭘 해도 신경 쓰이고뭘 해도 궁금해지고넌 왜 내게서 맴돌아oh 어떡해 나 자꾸만 생각이나말해 뭐해 말해 뭐해이러다가 바보처럼한 눈 팔게 하지 말고말해볼래 말해볼래나의 맘에 담긴 사람you are my only one 너무나 사랑을 해도눈물 난다는 게그런 말이 이해가 되지 않아하지만 그댈 본 순간두 눈 가득 고인눈물이 사랑인 것 같아넌 왜 내게서 맴돌아 뭘 해도 신경 쓰이고뭘 해도 궁금해지고난 너 하나만 생각해이렇게 난자꾸만 입 맞추고말해 뭐해 말해 뭐해이러다가 바보처럼한 눈 팔게 하지 말고말해볼래 말해볼래나의 맘에 담긴 사람you are my only one 내 모든 게 서툴다 해도네 곁에 나 머물고만 싶어지는 게 사랑일까 사랑일 거야너의 너의 남자 되고 싶어 말해 뭐해 말해 뭐해내게 오는 사랑은다 그대라는 이름인걸말해 뭐해 말해 뭐해나의 맘에 담긴 사람you are my only one 
지아,술 한잔 해요,2009.12.11,발라드,술 한잔 해요 날씨가 쌀쌀하니까따끈따끈 국물에 소주 한잔 어때요시간 없다면 내 시간 빌려줄게요그대 떠나간 후에 내 시간은 넘쳐요눈치 없는 여자라 생각해도 좋아요난 그냥 편하게 그대와한잔하고 싶을 뿐괜찮다면 나와요우리의 사랑이 뜨겁던우리의 사랑을 키웠던그 집에서 먼저 한잔 했어요조금 취했나 봐요그대가 내 앞에 있는 것 같아바보처럼 자꾸 눈물이 나요그대 마음이 차갑게 식어갔듯이따뜻했던 국물도 점점 식어가네요한잔 더 하고 이제 난 일어날래요비틀대는 내 모습 보기 싫어질까봐오늘따라 그대가 너무 보고 싶어서난 그냥 편하게 그대와한 잔하고 싶었죠괜찮다면 나와요우리의 사랑이 뜨겁던우리의 사랑을 키웠던그 집에서 먼저 한잔 했어요조금 취했나 봐요그대가 내 앞에 있는 것 같아바보처럼 자꾸 눈물이 나요술잔 속엔 눈물이마음 속엔 그대가 흘러 넘치잖아그대 가슴에 안겨그대의 가슴에 쓰러져그대의 가슴에 무너져마음 놓고 울어보고 싶어요늦게라도 와줘요나 혼자 이렇게 울게 하지마우린 항상 같이 있었으니까사랑해요 사랑해요사랑하기 싫어서 미치겠어 
먼데이 키즈 (Monday Kiz),가을 안부,2017.10.14,발라드,어떠니 잘 지냈니 지난 여름유난히도 힘에 겹더라 올핸새벽녘엔 제법 쌀쌀한 바람이 어느덧니가 좋아하던 그 가을이 와사랑도 그러게 별수없나 봐언제 그랬냐는 듯 계절처럼 변해가그리워져 미치도록 사랑한 그날들이내 잃어버린 날들이참 많이 웃고 울었던 그때그 시절의 우리니가 떠올라 밤새참 아프다 니가 너무 아프다너를 닮은 이 시린 가을이 오면보고 싶어서 너를 안고 싶어서가슴이 너를 앓는다어떠니 넌 괜찮니 지금쯤은나를 잊고 편안해졌니 이젠우습지 잘살길 바라면서도막상 날 잊었을 널 떠올리면 서글퍼그리워져 미치도록 사랑한 그날들이내 잃어버린 날들이참 많이 웃고 울었던 그때그 시절의 우리니가 떠올라 밤새참 아프다 니가 너무 아프다너를 닮은 이 시린 가을이 오면보고 싶어서 너를 안고 싶어서가슴이 너를 앓는다너라는 계절 안에 살아여전히 너를 꿈꾸며고마워져 그 날들이내 지나버린 날들이추억은 짐이 아니라살게 하는 힘이란 걸가르쳐준 너니까또 설렌다 아프도록 설렌다너를 닮은 눈부신 가을이 오면니가 떠올라 그리움이 차올라눈물로 너를 앓는다밤새 또 너를 앓는다
테이,같은 베개...,2007.02.09,발라드,하룻밤 자고나면 괜찮을거라그 밤이 어느새 천번째 밤이야니가 떠난 그 날부터 매일밤나를 위로해 줬던건언젠가 니가 내게 사준 베개야한시도 떨어져 살수가 없을때서로같은 베개위에서라도꼭 잠들자고 약속했었던똑같은 베개 베고서 잠이들면어디서든 함께있는 거라던꿈속에서도 헤어지지 말자던그런 니가 너무 그리워잠들때까지 전화기를 붙잡고사랑한다는말 지겹게 나누고두 베개가 하나되는그 날을 그리며 행복했던 난이제는 그 베개를 끌어 안고서눈물을 흘리고 후회를 흘리고너에게 다 미쳐주지 못했었던나의 마음을 또 흘리지똑같은 베개 베고서 잠이 들면어디서든 함께 있는 거라던꿈속에서도 헤어지지 말자던그런 니가 너무 그리워언젠가 잊혀질 날이 올 것 같아서슬픔도 멈출날 올 것 같아서외려 두려워 시간이내 맘까지 앗아갈까아직도 너만 꿈꾸고 있는 바보이런 나도 잠들날이 올까봐똑같은 베개 베고서 잠이들면어디서든 함께 있는거라던꿈속에서도 헤어지지 말자던그런 니가 너무 그리워사랑이 눕던 그 곳에 그 자리위에영원토록 이별이 또 누워도너와 똑같은 추억 하나 가진 난그래도 너라서 고마워
첸 (CHEN),너를 위해,2016.08.25,"발라드, R&B/Soul, 국내드라마",다른 공간의 다른 시간이지만 내 사랑이 맞을거야 바람에 스치는 너의 향기로도 난 너인걸 알수 있어but i don`t know 내 맘속에 언제부터 니가 산건지i don`t know 너를 보면 설레는 이유 나를 스쳐 지나가도 돼 니가 날 다 잊었으니까 니가 기억할 때까지 나는 너를 기다릴테니까그대여 나를 바라봐줘요 여전히 그대도 나를 사랑하나요그대여 내눈을 보고 얘기해줘요 사랑하는 맘은 숨겨지지 않아요너에겐 내가 곁에 있었단 사실을 절대로 잊지는 마 널 위해 모든걸 바칠 수 있었던내 마음을 지우지마but i don`t know 내맘속에 언제부터 니가 산건지i don`t know너를 보면 설레는 이유나를 스쳐 지나가도 돼니가 날 다 잊었으니까 니가 기억할 때까지 나는 너를 기다릴테니까같은 공간 같은 시간 함께 있잖아 언제라도 내 곁에 와 너의 자리로With you 너를 위해서그대여 나를 바라봐줘요 여전히 그대도 나를 사랑하나요
백예린 (Yerin Baek),Antifreeze,2021.09.10,발라드,"우린 오래전부터 어쩔 수 없는 거였어우주 속을 홀로 떠돌며 많이 외로워하다가어느 순간 태양과 달이 겹치게 될 때면모든 것을 이해할 수 있을 거야하늘에선 비만 내렸어 뼈 속까지 다 젖었어얼마 있다 비가 그쳤어 대신 눈이 내리더니영화서도 볼 수 없던 눈보라가 불 때너는 내가 처음 봤던 눈동자야낯익은 거리들이 거울처럼 반짝여도니가 건네주는 커피 위에 살얼음이 떠도우리 둘은 얼어붙지 않을 거야바다 속의 모래까지 녹일 거야춤을 추며 절망이랑 싸울 거야얼어붙은 아스팔트 도시 위로숨이 막힐 거 같이 차가웠던 공기 속에너의 체온이 내게 스며들어 오고 있어우리 둘은 얼어붙지 않을 거야바다 속의 모래까지 녹일 거야춤을 추며 절망이랑 싸울 거야얼어붙은 아스팔트 도시 위로너와 나의 세대가 마지막이면 어떡해또 다른 빙하기가 찾아오면 어떡해긴 세월에 변하지 않을 그런 사랑은 없겠지만그 사랑을 기다려줄 그런 사람을 찾는 거야긴 세월에 변하지 않을 그런 사랑은 없겠지만그 사랑을 기다려줄 그런 사람을 찾는 거야긴 세월에 변하지 않을 그런 사랑은 없겠지만그 사랑을 기다려줄 그런 사람을 찾는 거야긴 세월에 변하지 않을 그런 사랑은 없겠지만그 사랑을 기다려줄 그런 사람을 찾는 거야
"
케이윌,내 생에 아름다운,2018.10.23,"발라드, 국내드라마",Don't walk away I'm falling downDon't walk away I'm falling down깊어져만 가는밤하늘 별빛은 여전히그 자리 그대를 기다리죠한참을 말하지 않아도그대 두 눈 들여다보면나는 알아요 그대를 느끼죠햇살 안은 밤하늘 수평선 멀리그대의 별 되어 늘 그대를 지킬게요내 생에 가장 아름다운 시간들나 그댈 위해 간직해온짙은 숨결 그대에게닿기를 바래요Don't walk away I'm falling downDon't walk away I'm falling down점점 멀어지는한동안 그대 외로이힘없이 지나간 나날들나는 아파요 그대를 느끼죠햇살 안은 밤하늘 수평선 멀리그대의 별 되어 늘 그대를 지킬게요내 생에 가장 아름다운 시간들나 그댈 위해 간직해온짙은 숨결 전해지길바래요 오직 나 그대가내 맘 흐르는 하늘을 바라봐줘요한걸음 다가와 멀어지진 말아줘요하루하루 같은 이곳에 남겨져나 그대에게 머물게요내 생에 가장 아름다운그대와 영원히
비투비,아름답고도 아프구나,2018.11.12,발라드,사랑을 만나 이별을 하고수없이 많은 날을 울고 웃었다시간이란 건 순간이란 게아름답고도 아프구나낭만 잃은 시인 거의 시체 같아바라고 있어 막연한 보답아픔을 피해 또 다른 아픔을 만나옆에 있던 행복을 못 찾았을까너를 보내고 얼마나나 많이 후회했는지 몰라지금 이 순간에도 많은 걸놓치고 있는데 말이야시간은 또 흘러 여기까지 왔네요지금도 결국 추억으로 남겠죠다시 시작하는 게 이젠 두려운걸요이별을 만나 아플까 봐사랑을 만나 이별을 하고수없이 많은 날을 울고 웃었다시간이란 건 순간이란 게아름답고도 아프구나Yeah love then pain love then painYeah let's learn from our mistakes우린 실패로부터 성장해 성장해사랑은 하고 싶지만Nobody wants to deal with the pain that follows noI understand them thoughYeah 이해돼 이해돼 사랑이라는 게매일 웃게 하던 게 이제는 매일 괴롭게 해 괴로워아픈 건 없어지겠지만 상처들은 영원해But that's why it's called beautiful pain시간은 슬프게 기다리질 않네요오늘도 결국 어제가 되겠죠다시 시작하는 게너무나 힘든걸요어김없이 끝이 날까 봐사랑을 만나 이별을 하고수없이 많은 날을 울고 웃었다시간이란 건 순간이란 게아름답고도 아프구나사랑이란 건 멈출 수 없다 아픔은 반복돼이렇게도 아픈데 또 찾아와 사랑은 남몰래우린 누구나가 바보가 돼무기력하게도 한순간에오래도록 기다렸다는 듯아픈 사랑 앞에 물들어가그대를 만나 사랑을 하고그 어떤 순간보다 행복했었다그대는 부디 아프지 말고아름다웠길 바란다사랑을 만나 이별을 하고 수없이 많은 날을 울고 웃었다시간이란 건 순간이란 게아름답고도 아프구나
