가수,제목,발매일,장르,가사
임영웅,다시 만날 수 있을까,2022.05.02,발라드,너를 위해 해 줄 것이 하나 없어서보낼 수밖에 없었고네가 없이 사는 법을 알지 못해서순간순간을 울었다후회로 가득한 한숨 자락이시린 바람처럼가슴 치는 날 그 언젠가우리 만날 수 있을까다시 만날 수 있을까그리 좋던 예전처럼 그때처럼되돌아갈 수 있을까다시 우리가 만나면무엇을 해야만 할까서로를 품에 안고서하염없이 눈물만 흘려볼까붙잡을 마음이야 없었겠냐마는그때 난 부끄러웠다떳떳하게 일어나 널 다시 찾아갈뜨거운 꿈만 꾸었다둘이 함께 했던 순간순간이시린 폭포처럼쏟아지는 날 그 언젠가우리 만날 수 있을까다시 만날 수 있을까그리 좋던 예전처럼 그때처럼되돌아갈 수 있을까다시 우리가 만나면무엇을 해야만 할까서로를 품에 안고서하염없이 눈물만 흘려볼까그리운 마음이 서럽게 흘러넘쳐너에게 닿을 때우리 만날 수 있을까다시 만날 수 있을까그리 좋던 예전처럼 그때처럼되돌아갈 수 있을까다시 우리가 만나면무엇을 해야만 할까서로를 품에 안고서하염없이 눈물만 흘려볼까
우디 (Woody),사막에서 꽃을 피우듯,2023.07.14,발라드,아침에 눈 뜨는 게 너무 행복해졌어 널 사랑한다 말할 수 있어서 하늘에 감사해 ⠀네 번의 계절을 너와 함께할게평생토록 더 오래도록 더 영원토록⠀음악처럼 꿈처럼 매일 새롭게 사랑을 주고 싶어 지금처럼 곁에 있어 주기를 언제나⠀사막에서 꽃을 피우듯 널 만난 건 기적인 걸설렘이 사라지더라도 이 사랑을 지켜줄게⠀허물없이 지내다가도힘든 날엔 말없이 기댈 수 있게언제나 네 곁에 내가 서 있을게 ⠀한 걸음 한 걸음 어둡지 않게 내가 널 비춰줄게지금처럼 곁에 있어 주면 돼 언제나⠀사막에서 꽃을 피우듯 널 만난 건 기적인 걸설렘이 사라지더라도 이 사랑을 지켜줄게⠀허물없이 지내다가도힘든 날엔 말없이 기댈 수 있게언제나 네 곁에 내가 서 있을게 ⠀너와 함께하는 이 시간이조금만 더 천천히 흘러가길⠀어떤 날엔 웃게 해 줄게좋은 날엔 더 안아줄게슬픈 날엔 그냥 울어도 돼내가 더 노력할게 ⠀허물없이 지내다가도 힘든 날엔 말없이 기댈 수 있게언제나 네 곁에 내가 서 있을게⠀언제나 네 곁에 있을게
멜로망스,찬란한 하루,2023.05.29,"발라드, 인디음악",너무나 익숙한 안녕과조금은 어색한 침묵들도너와 나눴던 평범함들이내게는 빛나는 설렘이야가끔은 이렇게좋아도 될까 불안해져사랑에 빠진 요즘 내 모습들이조금은 어색해하루 온종일 너와 보낸 하루에머물러 있어가끔은 이렇게행복한 나를 믿지 못해사랑에 빠진 요즘 내 모습들이조금은 어색해하루 온종일 너와 보낸 하루에머물러 있어초라해 보였던 나의 마음 모두너만을 기다렸단 걸너만을 위한 나란 걸느끼게 해줘웃고 있는 널 기쁘게 해주는 건오늘의 전부야별 볼 일 없던 평범한 내 하루에즐거움이 되어줘함께할 수 있게사랑에 빠진 요즘 우리 모습이너무나 행복해하루 온종일 우리의 모습들이오늘의 전부야
V.O.S,안녕이라고 말하지마,2023.04.30,발라드,떨리는 너의 입술을 난 난 처음 보았지 무슨 말 하려고 말 하려고 뜸만 들이는지 슬픈 예감은 다 맞는단 노래 가사처럼 설마 아니겠지 아닐거야 아니어야만 돼 벌써 넌 나를 떠나 니 마음마저 떠나또 몸마저도 떠나는데난 몰라 널 잡을 방법을좀 누가 내게 말해줘요오늘밤 그 말만은 말아요왜 날 버리고 갔나요나 마음이 아파 가슴이 아파눈물 차올라요아직은 안녕 우린 안돼요넌 그 입을 더 열지마안녕이라고 내게 말하지마차가운 너의 한마디가 날 주저앉혔지세상 무너질 듯 무너진 듯오 눈물만 눈물만지금 순간이 가면 이 순간이 지나면영영 우린 이별인데사랑해 죽도록 사랑한 날날 버리지 말아줘요오늘밤 그 말만은 말아요왜 날 버리고 갔나요나 마음이 아파 가슴이 아파눈물 차올라요아직은 안녕 우린 안돼요넌 그 입을 더 열지마안녕이라고 내게 말하지마이별이 뭔지 나는 몰라요그냥 서럽고 서러워나 사연이 많아추억이 많아 가슴 찢어져요아직은 안녕 우린 안돼요넌 그 입을 더 열지마안녕이라고 내게 말하지마안녕이라고 내게 말하지마안녕이라고 내게 말하지마
우디 (Woody),Say I Love You,2022.12.21,발라드,입을 맞춰도 불안하고품에 안아도 초조하고잠이 들 때도 꿈처럼 사라질까밤새 뒤척이고보면 볼수록 겁이 나고겁이 날수록 더 보고 싶고사랑할수록 네가 날 떠날까 봐두려워지나 봐사랑을 다 줘도 불안한 건 남자야넌 너무 모르지 남자의 사랑을사랑할수록 더 보고 싶고보면 볼수록 더 안달 나고평생 내 여자로 만들고픈조급한 마음인걸평생 내 여자로 살아줄래나 말곤 없다고 말해줄래조금도 불안해하지 않게한 번 더 말해줄래Say I love youSay I love youSay I love youSay I love you사랑할수록 닮아가고날이 갈수록 더 좋아져함께 할수록 난 너 없인 못 살아너 책임져사랑을 다 줘도 불안한 건 남자야넌 너무 모르지 남자의 사랑을사랑할수록 더 보고 싶고보면 볼수록 더 안달 나고평생 내 여자로 만들고픈조급한 마음인걸평생 내 여자로 살아줄래나 말곤 없다고 말해줄래조금도 불안해하지 않게한 번 더 말해줄래 Say I love youSay I love you Say I love you약속해줘 You are the only my love한 여자만을 사랑하니까내겐 그 여자는 너 하나니까자꾸만 네 사랑을 보채도날 미워하지는 마평생 내 여자로 살아줄래나 말곤 없다고 말해줄래조금도 불안해하지 않게한 번 더 말해줄래Say I love youSay I love you Say I love youSay I love you Say I love you
지아,사랑하지 않아서 그랬니,2023.06.22,발라드,사랑하지 않기로 했어나만 생각하기로 했어너의 그 말 못 들은 척 못 하겠어네게 버림받기 싫어서예쁜 표정을 지어보며매달리는 내가 나조차 싫어져마지막까지 상처받긴 싫은데넌 여전히 나를 배려해 줄마음이 없나 봐사랑하지 않아서 그랬니처음부터 그런 거니아무 힘없이 널 보내야만 하니 정말매번 이기려 했던 너에게애를 써 져주려고 했었던 순간도니가 필요했던 숱한 밤도너를 사랑하니까 그랬어마지막으로 안아주면 안 될까말하고 싶어도우느라고 정신이 없는 날사랑하지 않아서 그랬니처음부터 그런 거니아무 힘없이 널 보내야만 하니 정말매번 이기려 했던 너에게애를 써 져주려고 했었던 순간도니가 필요했던 숱한 밤도너를 사랑하니까 그랬어넌 모르지 얼마나 아픈지왜 내가 버텨내고 참았는지뭐가 미안한데도망치듯 날 버릴 거면서너만 후련한 거 같아 여기까지라서기다리는 건 안 해 안 할래널 미워하고 말래거짓말하면 날 돌아봐 줄 거니 제발내가 말리든 말든 들었던 술잔도아픈 나를 혼자만 둔 밤도니 친구들 안 보여준 것도사랑하지 않아서 그랬니
WSG워너비 (가야G),그때 그 순간 그대로 (그그그),2022.07.09,발라드,"잘 지냈지? 조금은 어색해 요즘 좋아 보여 인사 나누며사실 궁금한 게 너무 많았는데 반가움에 멍해졌죠 생각보다 오래 된 것 같은 우리 수다스럽던 그때가 생각나뭐가 그렇게도 할 말이 많아서 밤을 지새우곤 했죠 그리운 목소리 그리던 얼굴 참 많이도 기다렸어다시 만나자는 너의 한마디에 울컥 눈물이 나결국 너였단 걸 알아기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼 서로를 알아보고 그렇게 눈앞에 서있죠 우리 사랑했던 우리 다시 만나 그때 그 순간 그대로사랑했고 사랑할 거니까 같이 듣던 노래 그때 그 거리를 이제 혼자 아닌 너와 둘이 걸어다시 오른쪽에 나란히 발맞춰 같은 노래를 부르죠 그리운 만남을 그리던 날들 참 많이도 기다렸어다시 너를 만나 더욱 더 소중해 같은 마음이란 걸알아 기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼 서로를 알아보고 그렇게 눈앞에 서있죠우리 사랑했던 우리 다시 만나 그때 그 순간 그대로사랑했고 사랑할 거니까처음 느낌 그대로 설렘이 가득한 날고마워 다시 돌아와줘서그때 그 순간처럼 날안아줘결국 기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼 서로를 알아보고 그렇게 눈앞에 서있죠 우리 사랑했던 우리 다시 만나 그때 그 순간 그대로사랑했고 사랑할 거니까
"
경서,어디든 가자 (Feat. 허성현),2023.07.16,발라드,네가 원하면 난 O.K파도 소리 들으러 어디든 가자하던 일 다 접어 두고핸드폰은 꺼둘래우리 둘만의 얘기로 채워줄게아무 생각도 없이 떠나자어디든 어디든 가자 예어디든 어디든 가자 예이런 여름을 기다렸어I’ve been waitingfor this moment no vacation계획한 적도 없었지만 가방 멨어별로 무겁지 않은 짐들이느껴져 낭만인 듯이(오늘따라)사람 많은 거 싫어하는데(이젠 알아)너 아니었음 안 나갈 텐데멀리 아녀도 괜찮아 어디든준비할 필요도 없어옷도 많을 필요 없어그냥 넌 나만 따라와 너를 꺼내줄게네가 원하면 난 O.K파도 소리 들으러 어디든 가자하던 일 다 접어 두고핸드폰은 꺼둘래우리 둘만의 얘기로 채워줄게아무 생각도 없이 떠나자어디든 어디든 가자 예어디든 어디든 가자 예이런 여름을 기다렸어많이 기다린 거 알아네가 티 내던 거 알았어나도 함께하고 싶었지만밀린 일들이 꽤 많았어보고 싶었던 바다로 데려갈 테니 참아줘네 투정 같은 건 가서 다 받을게큰 파라솔 아래서막상 떠나고 나면 마음 복잡했던것도 다 사라질 거라 말해줘그럼 난 두려울 게 없거든이따라도 좋아 짐부터 챙겨 나와봐 얼른하얀 모래알 가득한반짝이는 이 바다에풍덩 빠질래 이대로시간아 멈춰줘네가 원하면 난 O.K파도 소리 들으러 어디든 가자하던 일 다 접어 두고핸드폰은 꺼둘래우리 둘만의 얘기로 채워줄게아무 생각도 없이 떠나자짧을 수밖에 없는이 순간을 맘껏 즐겨 봐잊고 살았던행복을 둘이서 같이 찾아볼래이미 우리 마음은저 우주까지 날아가여름 냄새 가득한 밤폭죽으로 색칠한 보라색 바다이 느낌 너무 좋은 걸향긋한 이 바다가터질 것 같은 맘을 가져왔더니오늘 밤 우릴 꼭 안아주네어디든 어디든 가자 예어디든 어디든 가자 예이런 여름을 기다렸어
김호중,그중에 그대를 만나,2022.09.24,"발라드, 국내드라마",그렇게 대단한 운명까진바란적 없다 생각했는데그대 하나 떠나간 내 하룬 이제운명이 아님 채울 수 없소별처럼 수 많은 사람들그 중에 그대를 만나꿈을 꾸듯 서롤 알아보고주는 것 만으로 벅찼던내가 또 사랑을 받고그 모든건 기적이었음을그렇게 어른이 되었다고자신한 내가 어제같은데그대라는 인연을 놓지 못하는내 모습 어린아이가 됐소별처럼 수 많은 사람들그 중에 그대를 만나꿈을 꾸듯 서롤 알아보고주는 것 만으로 벅찼던내가 또 사랑을 받고그 모든건 기적이었음을나를 꽃처럼 불러주던그대 입술에 핀 내 이름이제 수많은 이름들그 중에 하나되고오 그대의 이유였던나의 모든 것도 그저 그렇게별처럼 수 많은 사람들그 중에 서로를 만나사랑하고 다시 멀어지고억겁의 시간이 지나도어쩌면 또다시 만나우리 사랑 운명이었다면내가 너의 기적이었다면
경서,나의 X에게,2022.04.24,발라드,우리 다시 만날래예쁘게 빛나던모든 추억들이너무 그리워너의 품에 안길래이 밤이 새도록네게 말할 거야너를 좋아한다고안녕 그대야요즘 어떻게 지내가로수길 걷다가생각이 나서행복해 보이는 사람들 속에우리 둘만 없어서어색했었어늘 집에 갈 땐항상 뒤돌아보면날 보며 웃어주던네가 생각났어우리 다시 만날래예쁘게 빛나던모든 추억들이너무 그리워너의 품에 안길래이 밤이 새도록네게 말할 거야너를 좋아한다고토요일마다 가던한강공원에이어폰 하나씩나눠끼고서벚꽃엔딩같이 듣고 있으면부러울 게 없었어너만 있으면널 사랑할 때내가 너무 그리워날 보며 웃어주던네가 보고 싶어우리 다시 만날래예쁘게 빛나던모든 추억들이너무 그리워너의 품에 안길래이 밤이 새도록네게 말할 거야너를 좋아한다고같이 별 보러 갈래널 다시 만나면네 옆에 기대서잠들고 싶어너의 품에 안길래이 밤이 새도록내 곁에 있어줘내겐 너뿐이라고
