music_title,artist,youtube_title,link
밤하늘의 별을(2020),경서,[MV] KyoungSeo(경서) _ Shiny Star(밤하늘의 별을)(2020),https://youtube.com/watch?v=NuTNPV72rFo&pp=ygUs67Ck7ZWY64qY7J2YIOuzhOydhCgyMDIwKSDqsr3shJwgb2ZmaWNpYWwgTVY%3D
발걸음,DK(디셈버),[MV] DK(디셈버) _ Step(발걸음),https://youtube.com/watch?v=1Zv_iZmpz64&pp=ygUj67Cc6rG47J2MIERLKOuUlOyFiOuyhCkgb2ZmaWNpYWwgTVY%3D
밤편지,아이유,[MV] IU(아이유) _ Through the Night(밤편지),https://youtube.com/watch?v=BzYnNdJhZQw&pp=ygUf67Ck7Y647KeAIOyVhOydtOycoCBvZmZpY2lhbCBNVg%3D%3D
그리워하다,비투비,BTOB(비투비) - '그리워하다' Official Music Video,https://youtube.com/watch?v=wDkjWSt3HOM&pp=ygUl6re466as7JuM7ZWY64ukIOu5hO2IrOu5hCBvZmZpY2lhbCBNVg%3D%3D
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),"AKMU - '어떻게 이별까지 사랑하겠어, 널 사랑하는 거지(How can I love the heartbreak, you`re the one I love)' M/V",https://youtube.com/watch?v=m3DZsBw5bnE&pp=ygVZ7Ja065a76rKMIOydtOuzhOq5jOyngCDsgqzrnpHtlZjqsqDslrQsIOuEkCDsgqzrnpHtlZjripQg6rGw7KeAIEFLTVUgKOyVheuupCkgb2ZmaWNpYWwgTVY%3D
어른,Sondia,[나의 아저씨 OST] Sondia - 어른 (Grown Ups) MV,https://youtube.com/watch?v=5a-tqIQc8RM&pp=ygUZ7Ja066W4IFNvbmRpYSBvZmZpY2lhbCBNVg%3D%3D
내 손을 잡아,아이유,IU(아이유) _ Hold My Hand(내 손을 잡아) _ MV,https://youtube.com/watch?v=BYQBs_4-MOo&pp=ygUn64K0IOyGkOydhCDsnqHslYQg7JWE7J207JygIG9mZmljaWFsIE1W
나의 모든 날들은 오직 세 가지뿐일 거야 (Feat.몰리디),경서예지,[MV] GyeongseoYeji(경서예지) _ All my days will be three days(나의 모든 날들은 오직 세 가지뿐일 거야),https://youtube.com/watch?v=doOZw4fkpxI&pp=ygVg64KY7J2YIOuqqOuToCDrgqDrk6TsnYAg7Jik7KeBIOyEuCDqsIDsp4Drv5Dsnbwg6rGw7JW8IChGZWF0LuuqsOumrOuUlCkg6rK97ISc7JiI7KeAIG9mZmljaWFsIE1W
잘가요,주호,주호 - 잘가요 [Music Video],https://youtube.com/watch?v=yfeaSjN1kSo&pp=ygUc7J6Y6rCA7JqUIOyjvO2YuCBvZmZpY2lhbCBNVg%3D%3D
선물,멜로망스,[MV] MeloMance(멜로망스) _ Gift(선물),https://youtube.com/watch?v=qYYJqWsBb1U&pp=ygUf7ISg66y8IOupnOuhnOunneyKpCBvZmZpY2lhbCBNVg%3D%3D
나비무덤,포맨 (4MEN),[MV] 4MEN(포맨) _ Butterfly Grave(나비무덤),https://youtube.com/watch?v=-embUeUPc7o&pp=ygUm64KY67mE66y0642kIO2PrOunqCAoNE1FTikgb2ZmaWNpYWwgTVY%3D
"여자는 말 못하고, 남자는 모르는 것들",정동하,"[MV] Jung Dong Ha(정동하) - Women can't talk, Men don't know(여자는 말 못하고, 남자는 모르는 것들)",https://youtube.com/watch?v=1PBa7hlsaDY&pp=ygVJ7Jes7J6Q64qUIOunkCDrqrvtlZjqs6AsIOuCqOyekOuKlCDrqqjrpbTripQg6rKD65OkIOygleuPme2VmCBvZmZpY2lhbCBNVg%3D%3D
All For You,서인국,서인국&정은지(Seo in guk& Jeong eun jee) - All For You(리메이크 곡),https://youtube.com/watch?v=3fR9Uzt06WM&pp=ygUhQWxsIEZvciBZb3Ug7ISc7J246rWtIG9mZmljaWFsIE1W
그대를 알고,송하예,[MV] Ha Yea Song(송하예) _ Since I knew you(그대를 알고),https://youtube.com/watch?v=ygGRC_zOUyI&pp=ygUm6re464yA66W8IOyVjOqzoCDshqHtlZjsmIggb2ZmaWNpYWwgTVY%3D
새벽에 걸려온 너의 전화는,한동근,[MV] Han dong geun(한동근) _ dawn call from you(새벽에 걸려온 너의 전화는),https://youtube.com/watch?v=Y01d2hLvsM0&pp=ygU67IOI67K97JeQIOqxuOugpOyYqCDrhIjsnZgg7KCE7ZmU64qUIO2VnOuPmeq3vCBvZmZpY2lhbCBNVg%3D%3D
Hear Me Out,EXO,EXO 엑소 'Hear Me Out' MV,https://youtube.com/watch?v=r2VZQa2IgP4&pp=ygUbSGVhciBNZSBPdXQgRVhPIG9mZmljaWFsIE1W
Christmas Tree,V,[M/V] V - Christmas Tree :: 그 해 우리는(Our Beloved Summer) OST Part.5,https://youtube.com/watch?v=lj8TV9q59P4&pp=ygUcQ2hyaXN0bWFzIFRyZWUgViBvZmZpY2lhbCBNVg%3D%3D
아로하,조정석,[슬기로운 의사생활 OST Part 3] 조정석 (CHO JUNG SEOK) - 아로하 (Aloha) MV,https://youtube.com/watch?v=3DOkxQ3HDXE&pp=ygUf7JWE66Gc7ZWYIOyhsOygleyEnSBvZmZpY2lhbCBNVg%3D%3D
마지막 사랑,신예영,신예영(Sin Ye Young) - 마지막사랑(Last Love) [Official MV],https://youtube.com/watch?v=jWYBZWVA1D4&pp=ygUm66eI7KeA66eJIOyCrOuekSDsi6DsmIjsmIEgb2ZmaWNpYWwgTVY%3D
사랑은 가슴이 시킨다(2023),이창섭,[MV] LEE CHANGSUB(이창섭) - Love from a Real Heart(사랑은 가슴이 시킨다)(2023),https://youtube.com/watch?v=jNhxc1LNKN0&pp=ygU57IKs656R7J2AIOqwgOyKtOydtCDsi5ztgqjri6QoMjAyMykg7J207LC97IStIG9mZmljaWFsIE1W
너를 보는게 지친 하루에,송하예,송하예 (Song Ha Yea) '너를 보는게 지친 하루에' (Official M/V),https://youtube.com/watch?v=z6mt8OJVMLw&pp=ygU364SI66W8IOuztOuKlOqyjCDsp4DsuZwg7ZWY66Oo7JeQIOyGoe2VmOyYiCBvZmZpY2lhbCBNVg%3D%3D
어디에도,엠씨더맥스 (M.C the MAX),[MV] M.C THE MAX(엠씨더맥스) - No matter where(어디에도),https://youtube.com/watch?v=va5rf20Un24&pp=ygU27Ja065SU7JeQ64-EIOyXoOyUqOuNlOunpeyKpCAoTS5DIHRoZSBNQVgpIG9mZmljaWFsIE1W
늦은 밤 너의 집 앞 골목길에서,노을,[MV] Noel(노을) _ Late Night(늦은 밤 너의 집 앞 골목길에서),https://youtube.com/watch?v=kFhf7pjRRjA&pp=ygU864qm7J2AIOuwpCDrhIjsnZgg7KeRIOyVniDqs6jrqqnquLjsl5DshJwg64W47J2EIG9mZmljaWFsIE1W
고백,멜로망스,[MV] MeloMance(멜로망스) _ Go Back(고백),https://youtube.com/watch?v=IgPcbE--mMA&pp=ygUf6rOg67CxIOupnOuhnOunneyKpCBvZmZpY2lhbCBNVg%3D%3D
너를 만나,폴킴,[MV] Paul Kim(폴킴) _ Me After You(너를 만나),https://youtube.com/watch?v=YBzJ0jmHv-4&pp=ygUg64SI66W8IOunjOuCmCDtj7TtgrQgb2ZmaWNpYWwgTVY%3D
거리에서,성시경,[M/V] 성시경 (Sung Si Kyung) - 거리에서 (On The Street),https://youtube.com/watch?v=qx4xDFP2WDU&pp=ygUi6rGw66as7JeQ7IScIOyEseyLnOqyvSBvZmZpY2lhbCBNVg%3D%3D
바라만 본다,MSG워너비(M.O.M),"[Unofficial MV] MSG워너비(M.O.M) - 바라만 본다 X START-UP / 공식X, 팬 뮤비",https://youtube.com/watch?v=G3e8GQdxI1Y&pp=ygUw67CU652866eMIOuzuOuLpCBNU0fsm4zrhIjruYQoTS5PLk0pIG9mZmljaWFsIE1W
