가수,제목,발매일,장르,가사
케이시 (Kassy),이 마음이 찾아오면,2020.04.09,R&B/Soul,어떻게 지내니 난 여전히 나야 별일 없이 똑같아헤어지고 나니 안부조차도 알기 힘드네그냥 나 아무것도 아닌 일에니 생각이 스쳤어나 차마 흘려보내지 못했어이 마음이 찾아오면 그때 우리머물다가 가게 해요애써 보내지 말고이제 우리 조금 더 천천히 잊어줘요많이 아픈 만큼아름다웠으니까Lalalala lalalala천천히 잊어도 돼요Lalalala참 이상하게도별거 아닌 기억 사소한 게 생각나같이 밥 먹거나 길을 걷거나 그런 거 말이야그때 나 너를 사랑하길 잘했어함께라서 좋았어나 너를 만나서 참 행복했어이 마음이 찾아오면 그때 우리머물다가 가게 해요애써 보내지 말고이제 우리 조금 더 천천히 잊어줘요많이 아픈 만큼아름다웠으니까그만 그리워하고 그만 좀 슬퍼해요 우리 이제는시간이 지나고 나서 문득 우리옅어져 버린 추억에 아쉬워하지 마요한때 우리 충분히 사랑했으니까예뻤던 마음만그 마음만 가져요Lalalala lalalala천천히 잊어도 돼요Lalalala차마 흘려보내지 못했어
헤이즈 (Heize),일기,2019.10.13,R&B/Soul,차라리 잘 된 거야 그래 그렇게 믿을래 아주 많은 슬픔들 중에 하날 견뎠다고 조금씩 지울 거야 그래 그렇게 하면 돼 시간이란 마술 같은 것 잊을 수 있을 거야하루에 하나씩 너의 따스함을 잊어내고 하루에 하나씩 고마웠던 일도 지워 사랑했던 일조차 없었던 것처럼 날 그렇게도 잘해주던 넌 없는 거야 눈물 나는 날들도 가끔은 오겠지 꼭 그만큼만 아파할게 사랑한 이유로 차라리 잘 된 거야 그래 그렇게 믿어볼래시간이란 마술 같은 것 잊을 수 있을 거야 하루에 하나씩 너의 따스함을 잊어내고 하루에 하나씩 고마웠던 일도 지워 사랑했던 일조차 없었던 것처럼 날 그렇게도 잘해주던넌 없는 거야 눈물 나는 날들도 가끔은 오겠지 꼭 그만큼만 아파할게 사랑한 이유로 그만큼만 지워갈래 하루에 하나씩더 아무것도 채울 수도 없는 지금 아낌없이 주기만 했던 지난날 후회 없어
양다일,그해 여름,2018.07.02,R&B/Soul,무더운 오늘 같은 날이면함께 떠났던 네가 떠올라왜인지 오늘 무기력해진나를 바라보면 네가 떠올라늘 짜증 섞인 말투로이 더운 여름보다 겨울이 좋다던 너내리는 비를 바라보며함께 할 수 있어난 나름 괜찮았는데해가 지면 마주하던여름 밤은 당연한 듯함께 했던 시간만큼짧기만 해내 짜증뿐인 날들엔그 더운 여름에도 날 놓지 않았던 너내리는 비를 맞아도 널 안을 수 있어그땐 참 괜찮았는데해가 지면 마주하던여름 밤은 당연한 듯함께 했던 시간만큼짧기만 해해가 지나 홀로 남은여름 밤은 당연한 듯마주하는 외로움에지치기만 해처진 몸을 이끌고 억지로 나선 밤에 어느새 시원해진 밤공기에Woo Woo낯설게 느껴지네이 계절에 너를 보내는 게해가 지나 홀로 남은여름 밤에 마주하네함께 했던 시간들이스쳐 가네
윤미래,"Good Bye Sadness, Hello Happiness",2007.02.23,R&B/Soul,And now it's Over사랑은 끝났어우리 추억은 여기까진가 봐영원 하라 했던 말I so love you이젠 시간 속으로 흩어져가함께 했었던 세상의 모든 곳우리 흔적도 지워져 가겠지행복했던 시간아 이젠 안녕부디 슬픔 없는 곳에서 살아가줘Good bye sadnessbe on your way 눈물을 감추고Hello my happinessyou're here to stay내 곁에 있어줘언젠가 내 생에 가장 멋진 순간그 땐 우리 빛나던 사랑을그리워하겠지함께 했었던 세상의 모든 곳소중하게 사진을 찍어둬행복했던 시간아 이젠 안녕너를 영원히 가슴속에 간직할게Good bye sadnessbe on your way 눈물을 감추고Hello my happinessyou're here to stay내 곁에 있어줘언젠가 내 생에 가장 멋진 순간그 때는 우리 추억을꺼내 봐도 되겠지부디 내 기억들아 떠나지 말아줘니가 없인 내 행복도 없으니Good Bye sadnessbe on your way 눈물을 감추고Hello my happinessyou're here to stay내 곁에 있어줘언젠가 내 생에 가장 멋진 순간그 때는 우리 사랑을꺼내 봐도 되겠지슬픔아 이젠 안녕 
태민 (TAEMIN),Advice,2021.05.18,R&B/Soul,Yeah 누가 뭐라든 My way틈이 없는 My face필터 없이 뱉은 말엔No oh oh oh유리 가면 속의 미소가려 두려 씌운 베일마저Lost oh oh ohAy You네 멋대로 분해해대 날Ay You입맛대로 풀어대는 말혀끝을 이리저리You don’t get it get itDo you never get the keysto my lock더 참신하게 상상력 좀 발휘해 봐네가 쫓던 토르소를 부숴대 난이미 너도 아는One adviceI’ll shoot the one advice날 가둘수록 보란 듯 엇나가 잘 봐끝을 보길 원한다면 자극해 봐이건 너를 위한One adviceBest take my own advice쉼 없이 찍어대넌 낙인 Like it파도 파도 계속 이어지는 과오 Oh oh이유도 모른 채로 다시 또낮아져 내 맘의 채도 Oh ohAy You가십거릴 찾아 둘러싸Ay You완성해 한 편의 잔혹사귓가에 이리저리You don’t get it get itget it get itDo you never get the keysto my lock더 참신하게 상상력 좀 발휘해 봐네가 쫓던 토르소를 부숴대 난이미 너도 아는One adviceI’ll shoot the one advice날 가둘수록 보란 듯 엇나가 잘 봐끝을 보길 원한다면 자극해 봐이건 너를 위한One adviceBest take my own adviceCreepy해 네가 원한 Drama시작되는 순간또 비틀릴 뿐야No no you’re confused왜 또 선을 넘어너만 옳은 Voi-voice나를 가둘 CornerFloppy해슬쩍 눈을 감아굳이 귀를 막아대지 않아 Oh 난No no you’re confused너만 아는 Love ya나를 위한 Voi-voice쏟아내는 Loser oh더 날카롭게 상상력 좀 발휘해 봐네가 쫓던 토르소를 부숴대 난이미 너도 아는One adviceI’ll shoot the one advice날 가둘수록 보란 듯 엇나가 잘 봐끝을 보길 원한다면 자극해 봐이건 너를 위한One adviceBest take my own adviceBest take my own advice
Hoody (후디),Sunshine (Feat. Crush),2018.10.22,R&B/Soul,유난히 생각이 났어햇살이 따뜻해서 baby혼자 있을 땐 내 바로 옆엔그대 온기 아직 느껴져이 세상이 다 어두워져도우린 빛이나You are my SunshineSunshine 비춰줄 땐 언제나 그댄그댄 포근해 저 구름보다Ooh I feel so brightWe have a good timeGood time같이 있을 땐 누구보다 더 큰 세상을 가진 듯해Ooh I feel so brightI can feel what you want 너의 품에안겨있을 때면오늘은 내가 내일은 네가 되어줘 서로의 baby혼자 있을 땐 내 바로 옆엔그대 온기 아직 느껴져이 세상이 다 어두워져도우린 빛이나You are my SunshineSunshine 비춰줄 땐 언제나 그댄그댄 포근해 저 구름보다Ooh I feel so brightWe have a good timeGood time같이 있을 땐 누구보다 더 큰 세상을 가진 듯해Ooh I feel so bright손잡고 걸을 때가끔씩 딴생각에 잠겨도결국 이렇게 시간 지나면 남잔 똑같단 말도 뭐 난 하루 종일내 왼쪽 어깨에 널 뉘어네가 깊은 잠에 들 때까지 껴안고 싶어널 안고 있을 때 커다란 파도 같은 내 하루의 방황을 끝내햇살보다 더 환하게 난 너를 비춰 줄게 sunshine’s like my love for you 많이 부족하지만 노력할 게 네 얼굴에 슬픔이 묻지 않게널 괴롭히는 어둠을 밝혀 내가 빛이 될게 babyno more nightmares 넌 내 지구 내 우주 내 세상 forever be with youYou are my SunshineSunshine 비춰줄 땐 언제나 그댄그댄 포근해 저 구름보다Ooh I feel so brightWe have a good timeGood time같이 있을 땐 누구보다 더 큰 세상을 가진 듯해Ooh I feel so bright
플라이 투 더 스카이,그대는 모르죠 (Good-bye),2004.11.05,R&B/Soul,"얘기하지 말아요 미소만 주고 가요 세상 가장 슬픈 말 듣지 않아도 이젠 알아요 꿈결같은 사랑 거둬들일때가 내게도 찾아오네요 아픔을 알게 되겠죠 나는 오직 그대뿐이죠 내안에 이미 그대만 살아요 우린 오늘까지겠지만 이 마음만은 가지고 가세요 Good-bye  아무일도 아닌듯 그대가 먼저 뒤돌아가요 혼자서 남아 감당할 아쉬움은 내 몫인걸요 시간속 깊이 그대 손길 담긴 소중한 추억을 묻으면 조금은 흐려지겠죠 그대 떠나고 난 빈자리 내 눈물들로 채워야 하지만 우리 사랑했던 그만큼 난 그댈위해 행복을 빌어요 Good-bye 내게 슬픔 주러 다가온 이별을 난 준비 못했죠  가지 말라고 되뇌는 나를 그대는 모르나요 나는 오직 그대뿐이죠 내안엔 이미 그대만 살아요 우린 오늘까지겠지만 이 마음만은 가지고 가세요 Good-bye 그대 떠나고 난 빈자리 내 눈물들로 채워야 하지만 우리 사랑했던 그만큼 난 그댈 위해 행복을 빌어요 Good-bye 
"
INEAR,추억이 될까봐 (Feat. 전상근),2017.04.13,"발라드, R&B/Soul",내가 다시 사랑할 여자가 그게 너라면 참 좋겠어 정말많이 후회했어 니가 보고 싶어 하루 온종일 생각이나너를 기억하는 내가 미웠어 너를 찾으려는 내가 싫었어오늘 하루도 우리 추억을 되돌리려 살고 있어하루 지나가면 잊을까너의 기억도 미련도 환한 미소도 나를 보던 눈빛도 잊혀질 수 있을까싫다 추억이 싫다 추억이 라는 게 될 까봐 난 두려워 이런 내가 너무 무서워그대 그대 그대 내게돌아올 수 없나요그때 나로 돌아가고 싶어서못해준 게 많아 생각이나 정말지난 시간 속에 매번 보내봐도 하루 온종일 생각이나너를 기억하는 내가 미웠어너를 찾으려는 내가 싫었어오늘 하루도 우리 추억을 되돌리려 살고 있어하루 지나가면 잊을까너의 기억도 미련도 환한 미소도 나를 보던 눈빛도 잊혀질 수 있을까싫다 추억이 싫다 추억이 라는 게 될 까봐 난 두려워 이런 내가 너무 무서워그대 그대 그대 내게나약했던 나라서 가진 것도 없는 나라서사랑해 한마디 조차 내겐 그토록 힘들어 그때 내가 싫어서 그런 내가 너무 미워서많이 노력 했단 걸 이제 그대 내게 돌아올 수 없나요
마마무+,Better (Feat. BIG Naughty),2022.08.30,R&B/Soul,너만 있으면 난멀리 안 가도 돼정신없이 바삐다들 뭘 하던데부럽지 않아 becauseYou take me away어차피 better when I'm with you어차피 better when I'm with youI'm with you따분함에 오늘 기분이 조금 blue필요한 change분위기 전환을 해 mood woo지친 일상을 내려놔너만 있으면 better nowEverytime when I'm with you낭비하자 우리 youth할 거 없이 빈둥대도 함께라면It’s all good good yahIt’s all good good yahIt’s a good good dayFeel so good good blessIt’s all good good good good yah너만 있으면 난멀리 안 가도 돼정신없이 바삐다들 뭘 하던데부럽지 않아 becauseYou take me away어차피 better when I'm with you어차피 better when I'm with you노란 달빛에함께 뛰어들래하루 종일 구름 위를뭉게뭉게서두르지 않아도 돼We have all the time어차피 better when I'm with you어차피 better when I'm with youI'm with you술에 취한 건지 너에 취한 건지뭔지 모르겠지만 기분이 좋아 왜굳이 뭘 안해도 거짓말 안 보태도이미 maximal level 다 넘쳐흐르네너만 있으면 뭐든 whatever잘 풀려 일도 이성도 헤롱난 피터팬 넌 팅커벨 절대로Never ever젊은이에겐 없거든 과태료쭉 들이키고 눈에 꿀 떨어지고뭉게구름 위로jumpin’ so high high high필름 끊어지기 전에 치즈들어 올려 우리 V확실한 알리바이막차 시간 따윈 no matter집보다 텅 빈 이 거리가 더 better그냥 하고 싶은 대로가고 싶은 대로너만 있으면 나는 안 외로워새로워 몇배로It’s a good good dayFeel so good good blessIt’s all good good good good yah너만 있으면 난멀리 안 가도 돼정신없이 바삐다들 뭘 하던데부럽지 않아 becauseYou take me away어차피 better when I'm with you어차피 better when I'm with you노란 달빛에함께 뛰어들래하루 종일 구름 위를뭉게뭉게서두르지 않아도 돼We have all the time어차피 better when I'm with you어차피 better when I'm with youI'm with you
Crush,OHIO,2020.07.14,R&B/Soul,I've been dancing 'til the morning on my own 미친척하고 춤을 춰봐도 목이 갈 때까지 노래 불러도 yeah 달라질 건 없는데 I’m goin’ out again 술이 덜 깨 머린 아파도 마음 아플 일은 없어 I’m alright 가끔 니가 생각나도 I’m feelin’ good I’m feelin’ fine 사실 아무 생각 없어 I’m feelin’ 오디 오디 오디 오하이 오 느리게 가는 시간이 지겨워서 어디든 미친듯이 달리고 싶어 발만 동동 구르는 내 모습이 미워서 리듬타면서 그냥 즐겨 몸 이끄는대로 I’m singin’ 오디 오디 오디 오하이 오 좀 더 크게 오디 오디 오디 오하이 오 하이오 I’m singin’ 오디 오디 오디 오하이 오 I’m not fine I’m not alright oh girl I know 피곤해 죽겠어 해뜰만하면 또 비가 내려 리모콘 좀 줘 티비 꺼 눈만 배려 요즘 가사 누가봐 걍 걸리는대로 아무노래나 일단 틀어 신나는걸로 갈수록 더 끈적끈적끈적 힘들어 여름이 나가서 논지가 도대체 언제인지 더 이상 어리지않은 나이 이제 곧 서른이 술이 덜 깨 머린 아파도 마음 아플 일은 없어 I’m alright 가끔 니가 생각나도 I’m feelin’ good I’m feelin’ fine 사실 아무 생각 없어 I’m feelin’ 오디 오디 오디 오하이 오 I’m singin’ 오디 오디 오디 오하이 오 좀 더 크게 오디 오디 오디 오하이 오 하이오 I’m singin’ 오디 오디 오디 오하이 오 I’m not fine I’m not alright oh girl I know I wanna make you feel much better I wanna make you dance like woo woo I wanna make you feel much better I wanna make you feel so good I wanna make you feel much betterI wanna make you dancelike woo wooI wanna make you feel much betterI wanna make you feel so goodI’m singin’ 오디 오디 오디오하이 오좀 더 크게 오디 오디 오디오하이 오하이오I’m singin’ 오디 오디 오디오하이 오I’m not fineI’m not alright oh girlI know
