가수,제목,발매일,장르,가사
우디 (Woody),어디든,2022.02.22,R&B/Soul,OK올림픽대로 위를 Drive내 옆자리 그녀는 So fine눈부신 넌 네온사인 Bling Bling오늘 우리 나침반은 달어디든지 우린 Go for a ride한강 View 불빛 따라서Any anywhere하늘 위로 노랑 별이 가득해저 하늘 위로네 옆에 있겠다고 약속해넌 나를 믿어 굳이 말 안 해도네 눈이 말하고 있어여기저기 멀리 어디든We're just travelin travelin woo yeToo too many loves우리 둘만 있어Too too many roses내겐 그저 한 송이면 충분해Too too many loves우린 마치 밤을 날아영화 속 주인공같이여기저기 어디든We're just travelin travelin woo yeOh Yeah 즉흥적 Vibe 너는 챙겨핸드폰 USB와 립스틱만내가 다 알아서 할 게왜냐면 그녀는 소심한 INFP난 널 웃게 해 줄 ENFP네가 가고 싶다던거기 가자 데려가 줄게하늘 위로 너란 별이 가득해서저 하늘 위로 사랑한다고 말할 게넌 나를 믿어 굳이 말 안 해도네 눈이 말하고 있어여기저기 멀리 어디든We're just travelin travelin woo yeToo too many loves우리 둘만 있어Too too many roses내겐 그저 한 송이면 충분해Too too many loves우린 마치 밤을 날아 영화 속 주인공같이여기저기 어디든We're just travelin travelin woo ye여기저기 어디든 Hey여기저기 어디든
DPR LIVE,KISS ME,2020.03.03,R&B/Soul,"let’s listen to the starswe just traveled through marsthe universe is oursbut your my favorite partlet’s listen to the starswe just traveled through marsthe universe is oursbut your my favorite partoh oh oh ohexplain yourself girl why so cruelthe way you kiss it, oh so rudeyou got me up from dark till noondon’t take my breath away to soonmy girl yeahyou buzz me through my light years yeahoh oh oh ohexplain yourself girl why so cruelthe way you kiss it, oh so rudeyou got me up from dark till noondon’t take my breath away to soonmy girl yeahyou buzz me through my light years yeah(I gotta let you knowyou oughta knowcause you dont knowI gotta let you know)love it whenwe’re lovey doveyin the shower부끄러워해봤자 아름다워닿을 듯 말 듯 거리는 가까워make you feel loved말로는 아까워 I’m gonna love your your lipsdown down to your hipsthen to the middle너가 제일 좋아하는 kiss그럴 거니까 딱 대기해우주까지 갈 대비해but first uhgirl take your fucking make up off right nowI wanna love my girlunderneath all those artificial lies I know sometimes your shy이제 가리지 마cause either way your mine그래 그랬어?누가 오늘 그랬어?어이구 그랬어?오늘 하루 그랬어?왠지 몰라 화도 나고 억울했어?  정말 힘들었겠네, 수고했어너 때문에 난 또 찡그린 걱정그러고 있는 날 보고 넌 또 해맑게 웃어뭐야 왜 장난쳐?그럼 넌 갑자기..밑도 끝도 없이 이러면 내가미쳐? 안 미쳐? 어? (IITE COOL)옜다 모르겠다 너를 안을래입술을 깨물 거야, 계속 까불래?간지럽힌다! 어디까지 가능해?이러다 아침까지 너랑 남을래 yeahyou mesmerize with your eyeswhen you blink blink이 노래의 분위기에 입을 맞춰till our lips sinkthen you go down down down downthen all I see is stars go upside downexplain yourself girl why so cruelthe way you kiss it, oh so rudeyou got me up from dark till noondon’t take my breath away to soonmy girl yeahyou buzz me through my light years yeahoh oh oh ohexplain yourself girl why so cruelthe way you kiss it, oh so rudeyou got me up from dark till noondon’t take my breath away to soonmy girl yeahyou buzz me through my light years yeah(I gotta let you knowyou oughta knowcause you dont knowI gotta let you know)girl take your fucking make up off right nowI wanna love my girlunderneath all those artificial liesI know how hard you tryI know sometimes you crybut I’m here for you right nowCOMING TO YOU LIVE
"
뎁트,Palette (Feat. Ashley Alisha),2023.07.16,"R&B/Soul, 인디음악","Somehow I can’t see a thingI was only trying to mix all the colors, yeahFinding which one is my typeIs it blue, is it redOr in between the black and whiteQuestioning what could it all meanPainting over my lifeIt never came to me easyI can't seem to get it just rightLet’s mix your darkWith touch of lightAnd we’ll make artWith this heart of mineAnd the best partIs still your tone, ohYou’re never monochromeI'm surrounded by so many huesThey all must be heaven-sentAnd they’re countless colorsSome like newShow me yours in our worldWith our loveOoh ooh woah oooohOoh ooh woah oooohWhich color are you right now?Ooh ooh woahOoh ooh woahGet deeper and deeperTo the center of your playgroundYou’re ultravioletYou walk in the roomAnd brighten up my dayBaby, you’re vibrantWith touch of maroonAnd lemondrop hazeGirl, I need your shadeYour touch dramaticOhOhLike what’s your hue?It’s iridescentOhOhNo, I don’t need no monochromaticBaby, your brighten my shadeI want it no other wayLet’s mix your darkWith touch of lightAnd we’ll make artWith this heart of mineAnd the best partIs still your tone, ohYou’re never monochromeI'm surrounded by so many huesThey all must be heaven-sentAnd they’re countless colorsSome like newShow me yours in our worldWith our loveWhen life gets too loudOr too watered downWe search for the lost and foundAnd eventuallyWe’ll see finer thingsAnd make a colorWe ain’t ever seen babyI'm surrounded by so many huesThey all must be heaven-sentAnd they’re countless colorsSome like newShow me yours in our worldWith our loveOoh ooh woah oooohOoh ooh woah oooohWhich color are you right now?Ooh ooh woahOoh ooh woahGet deeper and deeperTo the center of your playground"
ELO,OSAKA (Feat. ZICO),2018.05.29,R&B/Soul,OSAKA oh yeahThe place you and I dreamt ofOSAKA yeah yeah yeah yeahPack your bag first비행기 안에 던져두고Let's just fly awayYou don't need to make up맨 얼굴이 예뻐 넌 Oh yeah yeah하루 종일 걸어 다니며Shopping all dayOh girl you got style I know itClick clack 카메라 셔터 소리네가 웃고 있어 뒤를 돌아보니세상은 아직도 바쁘게 흘러가지만너와 내 시간은 잠시 멈췄어너무나 고요해OSAKA oh yeahThe place you and I dreamt ofOSAKA yeah yeah yeah yeah아무도 우릴 볼 수 없게그 어떤 것도 우릴 방해할 수 없게넌 내 옆에 있으면 돼Yeah yeah yeah yeah안 들려 크게 말해 what갑자기 그런 게 말이 돼어이없지만 어쩌겠어넌 잘못 없는 걸이런 졸지에 혼 여행하게 생겼네Shit 붕 떠 있는 날 납치해서호텔 방에 던져Suite Room에 시차도 없는데쉽게 잠에 못 들어도톤보리 사케 한 잔씩신사이바시 쇼핑 한 바퀴아이고 의미 없다맛집보단 너랑 먹는 배달음식아름다운 장소에 맞닿을수록내겐 최악으로 남을 추억비행기도 택시처럼 잡혔으면이미 쫑났을 투어세상은 아직도 바쁘게 흘러가지만너와 내 시간은 잠시 멈췄어너무나 고요해OSAKA oh yeahThe place you and I dreamt ofOSAKA yeah yeah yeah yeah아무도 우릴 볼 수 없게그 어떤 것도 우릴 방해할 수 없게넌 내 옆에 있으면 돼Yeah yeah yeah yeah아무도 우릴 볼 수 없게그 어떤 것도 우릴 방해할 수 없게넌 내 옆에 있으면 돼Yeah yeah yeah yeahOSAKA
케이시 (Kassy),이 노랠 들어요,2017.11.19,R&B/Soul,눈을 뜨면 한숨만 나고뜻대로 되는 게 없을 때도로 위 꽉 막힌 저 자동차처럼가슴이 답답할 때시린 겨울 얼어붙은 밤나 혼자 외롭고 쓸쓸할 때이 노랠 들어봐요혼자라는 생각이 들 때면 들어요위로가 되어줄그대 수고 많았어요오늘 밤 잘 자요내일이면 조금 괜찮아질 거예요힘든 일이 자꾸 겹쳐서뭐가 힘든지도 모를 때요즘은 어떠냐는 흔한 안부에눈물이 툭 떨어질 때남들은 다 앞서가는데나 혼자 한참 제자리일 때이 노랠 들어봐요 혼자라는 생각이 들 때면 들어요위로가 되어줄 그대 수고 많았어요오늘 밤 잘 자요그대 곁에 내가 함께 할게요I will be with youbaby open your mind내일 아침이 오면 다시 웃을 수 있게오늘까지만 울어요간절히 난 노래할게들어봐요위로하는 목소리무슨 일 있어도항상 여기 있어숨을 크게 들이쉬고함께 불러봐요걱정 마요 다 괜찮아질 거에요어떤 기분인지 다 알아지치고 힘든 그댈다시 안아줘이 노래를 들어요
태연 (TAEYEON),Siren,2022.02.14,R&B/Soul,"Falling deep deep 어디까지깊어질진 나도 몰라처음부터 빠뜨릴그런 계획은 아니었어잔뜩 헝클어진 호흡과내게 고정되어 버린 두 눈굳이 말하지 않아도 난다 알 것 같아지금 너의 맘은 나를 원해넌 나에게 애원하지만그런 너를 난 가만히 바라봐그 가슴에 계속해서 불 질러무모한 모험을 시작한 너Keep sinking down더 빠져들어 가I can hear the siren너도 들리니예고 없이 온 맘을 뺏긴네가 가여워져빠지고 빠져도끝없이 잠기기만 해채우고 채워도계속돼 날 향한 갈증Hear the siren난 좀 위험해잔인한 Fantasy널 구원할 듯 해치는내 모든 몸짓은유일한 네 Medicine품에 안는 순간 또물거품이 돼 버려치솟는 아드레날린Come catch me if you can입을 맞춰도 영원히나를 가질 순 없으니넌 나에게 손을 뻗지만그런 너를 난 가만히 바라봐그 가슴에 계속해서 불 질러도저히 헤어나지 못해 넌Keep sinking down더 빠져들어 가I can hear the siren 너도 들리니예고 없이 온 맘을 뺏긴네가 가여워져빠지고 빠져도끝없이 잠기기만 해채우고 채워도계속돼 날 향한 갈증Hear the siren난 좀 위험해Silence coming for us고요한 정적에더 아득해질 때네 영혼의 깊은 곳까지나로 다 적시어너를 가둘게영원히 내 곁에I can hear the siren너도 들리니예고 없이 온 맘을 뺏긴네가 가여워져빠지고 빠져도끝없이 잠기기만 해채우고 채워도계속돼 날 향한 갈증Hear the siren난 좀 위험해
"
스탠딩 에그,Everyday,2021.05.09,"R&B/Soul, 인디음악",나의 텅빈 하루를 누가 채워 줄수 있을까아직 넌 모르지만 그게 너일것 같아먼 거리에서 꽃향기가 불어 왔을 때네가 내 눈에 들어 왔어이 계절의 틈새 끝에 나에게건너 와줄래너를 느낄 수 있게I wanna love you in my everyday누가 너의 하루를함께 채워 갈 수 있을까아직 넌 모르지만 그게 나일 것 같아먼 거리에서 꽃향기가 불어 왔을 때네가 내 눈에 들어 왔어이 계절의 틈새 끝에 나에게건너 와줄래너를 느낄수 있게I wanna love you in my everyday이 계절의 틈새 끝에 나에게건너 와줄래너를 느낄수 있게I wanna love you in my everyday
다운 (Dvwn),기억소각 (Feat. 기리보이),2020.03.11,"R&B/Soul, 인디음악",내 기억 속에비쳐진 유리어항그 속에 갇혀져매일 밤을 한없이 표류해그 안에 물고긴 말해이미 가득 찬 이곳엔내 맘을 놓을 데가 없대하루 이틀 점점 채워질시간은 네 빈집이 필요해하나 둘 셋 내 마음이 도착할 때너의 기억 소각해그냥 흘려보내넌 가두려만 해이 짧은 시간을 채워 가기 위해고민은 짧게너는 그냥 흘려보내아무런 고민하지 마어항 속은 좁기만 해너가 가면 나는 혼자그 많은 추억들을 헌납추억은 기억들의 손자이러지 말고 나랑 손잡자너의 기억들 소각 전부 태워버려Burn It꼬일 대로 꼬인 상황나는 꽤나 잘도 버팀너를 생각하는 건이 바닥에서 최고인걸수돗물처럼 트는 생각물이 새고 있어나는 Wavy yeahIt’s so cold너의 체내 속을 Wavy yeah빨간색 물을 젓고 있어나는 심장쯤에 와있어삼키거나 뱉든지 그냥 쿨하게그냥 흘려보내넌 가두려만 해이 짧은 시간을 채워가기 위해고민은 짧게너는 그냥 흘려보내아무런 고민하지 마어항 속은 좁기만 해너는 왜고개를 숙여 왜너는 내어깨에 기대그냥 흘려보내어항 속은 좁기만 해
임정희,사랑아 가지마,2006.03.24,R&B/Soul,헤어지잔 몹쓸 말 죽어도 듣기 싫은 말 끝내 삼켜주길 바랬어 눈물이 흐를 것만 같아 입술만 자꾸 깨물어꿈이라면 좋겠어 사랑아 가지마 제발 날 떠나지마 널 부르다 또 가슴이 목메여도 사랑아 울지마 이별을 알았어도 널 사랑할 수 밖에 없었을 나였으니까 눈시울이 뜨겁게 눈물을 참아냈던 거 자존심때문이 아닌 걸 조금만 덜 행복해 할 걸 조금만 덜 사랑할 걸후회가 난 더 미워 사랑아 가지마 제발 날 떠나지마 널 부르다 또 가슴이 목메여도 사랑아 울지마 이별을 알았어도 널 사랑할 수 밖에 없었을 나였으니까 다시 돌아올거야 떠난 그 길 아니까 니가 오긴 쉽잖아 언제라도 그리우면 참지마 바로 내게 달려오면 돼 추억아 잊지마 이대로 헤어져도 추억은 헤어질 수 없다는 걸 그리울 때마다 너무 아플 때마다 나 웃음으로 눈물 흘리며 널 기다릴게 사랑아 잊지마 세상은 잊더라도 니가 사랑했던 날 -
브라운아이드걸스,다가와서,2006.03.02,R&B/Soul,네가 더 미워 널 가져갔던 그녀보다 더 그래서 싫어 날 파고드는 네 눈빛 네가 더 미워 더 잔인해진 추억보다 더 그래서 싫어 날 가졌었던 네 가슴 (그래서 싫어 너를 잊고 싶어) 애써 조각 냈던 시간이 (조각 냈던 시간이) 던져 버린 기억이 (던져 버린 기억이) 버릇처럼 조금씩 날 조여와 다가와서 나를 깨우고 다가와서 나를 울리고 다가와서 나를 죽이고 돌아선 너 고작 그것밖에 안 되는 너란 남자 하나 때문에 오늘도 미쳐간 내가 더 미워 내가 더 미워 날 버려둔 건 너일 뿐인데 그래서 싫어(싫어) 다 용서했던 내 마음 내가 더 미워(I cannot forget the days) 날 때리는 건 추억들인데 그래서 싫어(we were like one back in the days) 또 주워 담는 내 두 손 이미 찢어질 대로 찢긴 내 맘의 상철 부여잡고 짓밟힐 대로 짓밟힌 자존심 모두 잊고 이렇게 괴로워도 매일 밤 울어대도 굳이 너를 갈원하는 내가 미워 널 미워할 수 없는지(미워할 수 없어) 지워낼 수 없는지(지워낼 수 없어) 아직도 넌 내 안에 사는 건지 다가와서 나를 깨우고 다가와서 나를 울리고 다가와서 나를 죽이고 돌아선 너 고작 그것밖에 안 되는 너란 남자 하나 때문에 오늘도 미쳐간 내가 더 미워 사랑 주기만 했던 나 사랑 받지도 못한 나 널 미워하는 것도 못한 채 혹시 너를 모두 잊어 낼 만큼 네가 미워질까 오늘도 술 취해 나를 탓해봐 널 너무나도 사랑하니까 너무나도 미워하니까 난 이렇게도 바보같이 울고 있는걸 네게 받은 상처마저도 우리 좋았던 기억들로 지우고 감추는 내가 더 미워 You can say I’m crazy You can call me whatever you like But there’s only one thing you cannot judge It’s my love for you -
